Column Name|Number of Unique|Unique Sample
VendorID|2|[2 1]
lpep_pickup_datetime|66575|"['2023-01-01 00:26:10' '2023-01-01 00:51:03' '2023-01-01 00:35:12' ...
 '2023-01-31 23:46:00' '2023-01-31 23:01:00' '2023-01-31 23:51:00']"
lpep_dropoff_datetime|66519|"['2023-01-01 00:37:11' '2023-01-01 00:57:49' '2023-01-01 00:41:32' ...
 '2023-02-01 00:02:00' '2023-01-31 23:19:00' '2023-02-01 00:07:00']"
store_and_fwd_flag|2|['N' 'Y' nan]
RatecodeID|6|[ 1.  5.  4.  3.  2. 99. nan]
PULocationID|226|"[166  24 223  41 181 255  75  66 195  83  97   7  42  95 260 134 130 258
 129 116  92  65  74  17 152 210 112  69 243  82 179 168  80  25 145 264
  33 226  52 169  36  51 157  43 256 173  70 251  40 101  61 241 146 147
 228 171 138  56 244 263 196  37 236 213  28 117  14 188 177  29 262 250
  72 216  22  20 139  55 257 193 127 219   3 119 265 167 150  78 135 247
  93 159  48  31  91  53 160  94  47 254 215  10  49 197   9  59 123 198
  89 136 252 189  76  21  67  73  38 114 132 131 149 178 182  18 239 121
  35 240  98 242 174  71 155 220  26  16  60 212 227 175  81 231 180 122
 153  27 183 208 194 225 206 102  39 185 230  62  68 235 207 205 192  77
  32 190  85 261 108 124 191  11 126 151 217 154 120 165 133 203 232 222
 100 128 106 218 137 170  88 221 253 209  19  86 248 140  46  34 200 214
  79  63  64 259 143 202  54 161 186 238  90 246 233  23  87 229   1  57
  45 234 201  50 113 245 158 141 164  58]"
DOLocationID|249|"[143  43 179 238  74 262  45  75 166 140 234 148 255 186 210 129  68 260
  42  24 244 146 135 173 216 142 265 164   7  83  95 130 223  80  48 263
 196 250 226 239 189  41 168 162 141  33 145 151 116 195 249 235 160  98
  79 229 181 193 237 233 264 102  10  37 258  82 170  61 112 231  97  17
 169  96 219 243 236  56  36 114 157 161  54  90  40 188  70  63 251 101
  92 153  53  57 256  65 257 138  85  52 119 241  50  78 228 211 230 218
 121 163 132 192 184 113 167  28 177  86  89 205 152  88  69  16 225 137
 144  66  71 127 134 194  87  76 147 158   8 227 248 246 171 247 182 180
   1 106  14 198 131 213 125 197  32 220 150 207  49  55 159  18 174 122
  31  25 100  35 139 185  15  22 215  94  34 155 212 261 232 242  11  47
 259 208 107  62 165  67 124 202 252 123  72  38  21   4 175  20 108 200
 224 178 136 254  19  26 120 191  64  73  39 133  93 217 190 201   3 183
 117 209  46 154  60  51  13 206 203  91 240   9  81  29 126 128 149  77
 222 115 172 221  12 253 187  44  59 111 156  23 214  27  58]"
passenger_count|10|[ 1.  2.  4.  3.  6.  5.  0.  7.  9.  8. nan]
trip_distance|1870|"[2.58000e+00 1.81000e+00 0.00000e+00 ... 1.86200e+01 3.00862e+03
 4.07082e+03]"
fare_amount|2553|[14.9  10.7   7.2  ... 17.41 15.7   4.41]
extra|16|"[ 1.    0.5   3.75  0.    3.25  6.    5.    2.75  5.5  -1.    2.5   5.25
  7.5  -2.5  -0.5  12.5 ]"
mta_tax|6|[ 0.5   1.5   0.    1.   -0.5   2.75]
tip_amount|1492|[ 4.03  2.64  1.94 ...  9.36 14.13 12.96]
tolls_amount|26|"[ 0.    6.55  4.   13.75  9.    3.   11.75  2.45  7.   13.1  18.3  20.5
 12.75 22.75 21.3  14.75 25.5  36.05 19.3   6.25  9.55  8.55  8.    5.09
  6.75 20.  ]"
ehail_fee|0|[nan]
improvement_surcharge|5|[ 1.   0.   0.3 -1.  -0.3]
total_amount|4670|[24.18 15.84 11.64 ... 27.43 34.64  5.41]
payment_type|5|[ 1.  2.  3.  4.  5. nan]
trip_type|2|[ 1.  2. nan]
congestion_surcharge|4|[ 2.75  0.    2.5  -2.75   nan]
